2025-02-09 19:12:28 INFO  Utils:112 - [TestNG] Running:
  C:\Users\HP\eclipse-workspace\OpencartV121\master.xml

2025-02-09 19:13:22 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 19:13:25 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 19:13:26 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 19:13:39 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 19:13:39 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
2025-02-09 19:17:45 INFO  TC001_AccountRegistrationTest:16 - ***Strating TC001_AccountRegistrationTest***
2025-02-09 19:17:45 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAcccount link
2025-02-09 19:17:48 INFO  TC001_AccountRegistrationTest:24 - Clicked on Register link
2025-02-09 19:17:48 INFO  TC001_AccountRegistrationTest:28 - Providing customer details
2025-02-09 19:18:08 INFO  TC001_AccountRegistrationTest:46 - Validating expected message..
2025-02-09 19:18:08 INFO  TC001_AccountRegistrationTest:59 - ***Finished TC001_AccountRegistrationTest***
2025-02-09 19:18:16 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 19:18:17 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 19:18:18 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 19:18:28 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 19:18:28 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
2025-02-09 19:22:51 INFO  TC001_AccountRegistrationTest:16 - ***Strating TC001_AccountRegistrationTest***
2025-02-09 19:22:52 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAcccount link
2025-02-09 19:22:53 INFO  TC001_AccountRegistrationTest:24 - Clicked on Register link
2025-02-09 19:22:53 INFO  TC001_AccountRegistrationTest:28 - Providing customer details
2025-02-09 19:23:13 INFO  TC001_AccountRegistrationTest:46 - Validating expected message..
2025-02-09 19:23:13 INFO  TC001_AccountRegistrationTest:59 - ***Finished TC001_AccountRegistrationTest***
2025-02-09 19:23:20 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 19:23:22 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 19:23:22 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 19:23:33 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 19:23:33 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
2025-02-09 20:11:24 INFO  TC001_AccountRegistrationTest:16 - ***Strating TC001_AccountRegistrationTest***
2025-02-09 20:11:24 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAcccount link
2025-02-09 20:11:26 INFO  TC001_AccountRegistrationTest:24 - Clicked on Register link
2025-02-09 20:11:26 INFO  TC001_AccountRegistrationTest:28 - Providing customer details
2025-02-09 20:11:46 INFO  TC001_AccountRegistrationTest:46 - Validating expected message..
2025-02-09 20:11:46 INFO  TC001_AccountRegistrationTest:59 - ***Finished TC001_AccountRegistrationTest***
2025-02-09 20:11:52 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 20:11:54 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 20:11:54 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 20:12:05 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 20:12:05 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
2025-02-09 20:24:48 INFO  TC001_AccountRegistrationTest:16 - ***Strating TC001_AccountRegistrationTest***
2025-02-09 20:24:48 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAcccount link
2025-02-09 20:24:49 INFO  TC001_AccountRegistrationTest:24 - Clicked on Register link
2025-02-09 20:24:49 INFO  TC001_AccountRegistrationTest:28 - Providing customer details
2025-02-09 20:24:58 ERROR TC001_AccountRegistrationTest:55 - Test failed..
2025-02-09 20:25:07 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 20:25:09 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 20:25:10 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 20:25:20 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 20:25:20 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
2025-02-09 20:29:14 INFO  TC001_AccountRegistrationTest:16 - ***Strating TC001_AccountRegistrationTest***
2025-02-09 20:29:15 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAcccount link
2025-02-09 20:29:16 INFO  TC001_AccountRegistrationTest:24 - Clicked on Register link
2025-02-09 20:29:16 INFO  TC001_AccountRegistrationTest:28 - Providing customer details
2025-02-09 20:29:36 INFO  TC001_AccountRegistrationTest:46 - Validating expected message..
2025-02-09 20:29:36 INFO  TC001_AccountRegistrationTest:59 - ***Finished TC001_AccountRegistrationTest***
2025-02-09 20:29:44 INFO  TC002_LoginTests:16 - **TC002_LoginTests**
2025-02-09 20:29:45 INFO  TC002_LoginTests:24 - **Clicked Login**
2025-02-09 20:29:45 INFO  TC002_LoginTests:32 - **Logging in**
2025-02-09 20:29:55 INFO  TC002_LoginTests:45 - **Logged out successfully**
2025-02-09 20:29:55 INFO  TC002_LoginTests:55 - **Finished TC002_LoginTests**
